"order_id","order_date","customer_id","sales","order_year"
"CA-2017-114412","2017-04-15","AA-10480","15.552","2017"
"US-2017-156909","2017-07-16","SF-20065","71.372","2017"
"CA-2017-107727","2017-10-19","MA-17560","29.472","2017"
"CA-2017-120999","2017-09-10","LC-16930","147.168","2017"
"CA-2017-139619","2017-09-19","ES-14080","95.616","2017"
"CA-2017-114440","2017-09-14","TB-21520","19.05","2017"
"US-2017-118038","2017-12-09","KB-16600","1.248","2017"
"US-2017-118038","2017-12-09","KB-16600","9.708","2017"
"US-2017-118038","2017-12-09","KB-16600","27.24","2017"
"US-2017-119662","2017-11-13","CS-12400","230.376","2017"
"CA-2017-140088","2017-05-28","PO-18865","301.96","2017"
"CA-2017-155558","2017-10-26","PG-18895","19.99","2017"
"CA-2017-155558","2017-10-26","PG-18895","6.16","2017"
"US-2017-109484","2017-11-06","RB-19705","5.682","2017"
"CA-2017-161018","2017-11-09","PN-18775","96.53","2017"
"CA-2017-157833","2017-06-17","KD-16345","51.312","2017"
"CA-2017-119004","2017-11-23","JM-15250","74.112","2017"
"CA-2017-119004","2017-11-23","JM-15250","27.992","2017"
"CA-2017-119004","2017-11-23","JM-15250","3.304","2017"
"CA-2017-146780","2017-12-25","CV-12805","41.96","2017"
"US-2017-107272","2017-11-05","TS-21610","2.388","2017"
"US-2017-107272","2017-11-05","TS-21610","243.992","2017"
"US-2017-164147","2017-02-02","DW-13585","59.97","2017"
"US-2017-164147","2017-02-02","DW-13585","78.304","2017"
"US-2017-164147","2017-02-02","DW-13585","21.456","2017"
"CA-2017-106180","2017-09-18","SH-19975","8.82","2017"
"CA-2017-106180","2017-09-18","SH-19975","10.86","2017"
"CA-2017-106180","2017-09-18","SH-19975","143.7","2017"
"CA-2017-155376","2017-12-22","SG-20080","839.43","2017"
"US-2017-152366","2017-04-21","SJ-20500","97.264","2017"
"CA-2017-107720","2017-11-06","VM-21685","46.26","2017"
"US-2017-124303","2017-07-06","FH-14365","2.946","2017"
"US-2017-124303","2017-07-06","FH-14365","16.056","2017"
"CA-2017-105074","2017-06-24","MB-17305","21.744","2017"
"US-2017-116701","2017-12-17","LC-17140","66.284","2017"
"CA-2017-126382","2017-06-03","HK-14890","35.168","2017"
"CA-2017-108329","2017-12-09","LE-16810","444.768","2017"
"CA-2017-135860","2017-12-01","JH-15985","83.92","2017"
"CA-2017-135860","2017-12-01","JH-15985","131.98","2017"
"CA-2017-135860","2017-12-01","JH-15985","15.92","2017"
"CA-2017-135860","2017-12-01","JH-15985","52.29","2017"
"CA-2017-135860","2017-12-01","JH-15985","91.99","2017"
"US-2017-100930","2017-04-07","CS-12400","233.86","2017"
"US-2017-100930","2017-04-07","CS-12400","620.6145","2017"
"US-2017-100930","2017-04-07","CS-12400","5.328","2017"
"US-2017-100930","2017-04-07","CS-12400","258.072","2017"
"US-2017-100930","2017-04-07","CS-12400","617.976","2017"
"CA-2017-160514","2017-11-12","DB-13120","10.56","2017"
"CA-2017-163139","2017-12-01","CC-12670","20.37","2017"
"CA-2017-163139","2017-12-01","CC-12670","221.55","2017"
"CA-2017-163139","2017-12-01","CC-12670","17.52","2017"
"US-2017-155299","2017-06-08","Dl-13600","1.624","2017"
"CA-2017-136826","2017-06-16","CB-12535","14.016","2017"
"US-2017-145366","2017-12-09","CA-12310","37.208","2017"
"US-2017-145366","2017-12-09","CA-12310","57.576","2017"
"CA-2017-163979","2017-12-28","KH-16690","725.84","2017"
"CA-2017-118136","2017-09-16","BB-10990","8.82","2017"
"CA-2017-118136","2017-09-16","BB-10990","5.98","2017"
"CA-2017-132976","2017-10-13","AG-10495","11.648","2017"
"CA-2017-132976","2017-10-13","AG-10495","18.176","2017"
"CA-2017-132976","2017-10-13","AG-10495","59.712","2017"
"CA-2017-132976","2017-10-13","AG-10495","24.84","2017"
"US-2017-152380","2017-11-19","JH-15910","219.075","2017"
"CA-2017-126774","2017-04-15","SH-20395","4.89","2017"
"CA-2017-153339","2017-11-03","DJ-13510","15.992","2017"
"CA-2017-169901","2017-06-15","CC-12550","47.976","2017"
"CA-2017-134306","2017-07-08","TD-20995","7.56","2017"
"CA-2017-134306","2017-07-08","TD-20995","24.56","2017"
"CA-2017-134306","2017-07-08","TD-20995","12.96","2017"
"CA-2017-155698","2017-03-08","VB-21745","647.84","2017"
"CA-2017-155698","2017-03-08","VB-21745","20.7","2017"
"CA-2017-144904","2017-09-25","KW-16435","20.7","2017"
"CA-2017-144904","2017-09-25","KW-16435","488.646","2017"
"CA-2017-144904","2017-09-25","KW-16435","5.56","2017"
"CA-2017-144904","2017-09-25","KW-16435","47.12","2017"
"CA-2017-104745","2017-05-29","GT-14755","25.92","2017"
"CA-2017-104745","2017-05-29","GT-14755","53.424","2017"
"US-2017-134481","2017-08-27","AR-10405","1488.424","2017"
"CA-2017-101798","2017-12-11","MV-18190","23.36","2017"
"CA-2017-101798","2017-12-11","MV-18190","39.98","2017"
"CA-2017-102946","2017-06-30","VP-21730","75.792","2017"
"CA-2017-165603","2017-10-17","SS-20140","49.96","2017"
"CA-2017-165603","2017-10-17","SS-20140","12.96","2017"
"CA-2017-117933","2017-12-24","RF-19840","35.91","2017"
"CA-2017-117457","2017-12-08","KH-16510","179.95","2017"
"CA-2017-117457","2017-12-08","KH-16510","1199.976","2017"
"CA-2017-117457","2017-12-08","KH-16510","27.15","2017"
"CA-2017-117457","2017-12-08","KH-16510","1004.024","2017"
"CA-2017-117457","2017-12-08","KH-16510","9.68","2017"
"CA-2017-117457","2017-12-08","KH-16510","28.35","2017"
"CA-2017-117457","2017-12-08","KH-16510","55.98","2017"
"CA-2017-117457","2017-12-08","KH-16510","1336.829","2017"
"CA-2017-117457","2017-12-08","KH-16510","113.568","2017"
"CA-2017-142636","2017-11-03","KC-16675","139.86","2017"
"CA-2017-142636","2017-11-03","KC-16675","307.136","2017"
"CA-2017-122105","2017-06-24","CJ-12010","95.92","2017"
"CA-2017-154816","2017-11-06","VB-21745","5.78","2017"
"CA-2017-110478","2017-03-04","SP-20860","9.32","2017"
"CA-2017-110478","2017-03-04","SP-20860","15.25","2017"
"CA-2017-125388","2017-10-19","MP-17965","56.56","2017"
"CA-2017-125388","2017-10-19","MP-17965","32.7","2017"
"CA-2017-155705","2017-08-21","NF-18385","866.4","2017"
"CA-2017-149160","2017-11-23","JM-15265","28.4","2017"
"CA-2017-149160","2017-11-23","JM-15265","287.92","2017"
"CA-2017-152275","2017-10-01","KH-16630","6.672","2017"
"CA-2017-130043","2017-09-15","BB-11545","31.872","2017"
"CA-2017-157252","2017-01-20","CV-12805","207.846","2017"
"CA-2017-154214","2017-03-20","TB-21595","2.91","2017"
"CA-2017-147277","2017-10-20","EB-13705","284.364","2017"
"CA-2017-147277","2017-10-20","EB-13705","665.408","2017"
"CA-2017-154907","2017-03-31","DS-13180","205.3328","2017"
"CA-2017-140963","2017-06-10","MT-18070","29.6","2017"
"CA-2017-140963","2017-06-10","MT-18070","514.165","2017"
"CA-2017-140963","2017-06-10","MT-18070","279.96","2017"
"CA-2017-134978","2017-11-12","EB-13705","15.92","2017"
"CA-2017-135307","2017-11-26","LS-17245","126.3","2017"
"CA-2017-135307","2017-11-26","LS-17245","38.04","2017"
"CA-2017-163405","2017-12-21","BN-11515","6.63","2017"
"CA-2017-163405","2017-12-21","BN-11515","5.88","2017"
"CA-2017-127432","2017-01-22","AD-10180","2999.95","2017"
"CA-2017-127432","2017-01-22","AD-10180","51.45","2017"
